open_time,open,high,low,close,volume
2026-07-06T09:00:00+00:00,580.63000000,580.63000000,576.10000000,577.43000000,6703.41700000
2026-07-06T10:00:00+00:00,577.44000000,581.00000000,577.30000000,580.18000000,2848.86200000
2026-07-06T11:00:00+00:00,580.19000000,581.13000000,577.81000000,577.81000000,3421.05100000
2026-07-06T12:00:00+00:00,577.81000000,577.86000000,571.85000000,571.95000000,13817.58300000
2026-07-06T13:00:00+00:00,571.96000000,575.18000000,570.12000000,573.04000000,8725.60200000
2026-07-06T14:00:00+00:00,573.05000000,578.93000000,572.95000000,577.10000000,11497.68100000
2026-07-06T15:00:00+00:00,577.10000000,585.00000000,576.95000000,584.74000000,11087.27000000
2026-07-06T16:00:00+00:00,584.75000000,586.71000000,583.32000000,585.31000000,10371.24100000
2026-07-06T17:00:00+00:00,585.31000000,586.13000000,582.85000000,583.06000000,7435.42100000
2026-07-06T18:00:00+00:00,583.07000000,585.19000000,582.85000000,584.40000000,1894.98200000
2026-07-06T19:00:00+00:00,584.39000000,585.98000000,584.01000000,585.15000000,2507.85000000
2026-07-06T20:00:00+00:00,585.15000000,586.29000000,583.55000000,585.72000000,2588.60400000
2026-07-06T21:00:00+00:00,585.72000000,592.10000000,585.72000000,589.51000000,7134.47100000
2026-07-06T22:00:00+00:00,589.52000000,589.71000000,587.47000000,588.11000000,3537.32800000
2026-07-06T23:00:00+00:00,588.11000000,588.91000000,585.54000000,586.01000000,2589.90200000
2026-07-07T00:00:00+00:00,586.02000000,587.92000000,585.57000000,586.91000000,3254.59400000
2026-07-07T01:00:00+00:00,586.91000000,586.91000000,582.48000000,582.93000000,3667.71100000
2026-07-07T02:00:00+00:00,582.94000000,583.50000000,580.24000000,580.98000000,3117.29000000
2026-07-07T03:00:00+00:00,580.98000000,581.92000000,578.22000000,579.18000000,3572.44600000
2026-07-07T04:00:00+00:00,579.18000000,579.41000000,577.61000000,578.84000000,2497.57100000
2026-07-07T05:00:00+00:00,578.85000000,579.84000000,576.39000000,579.04000000,3173.88200000
2026-07-07T06:00:00+00:00,579.04000000,580.79000000,578.06000000,579.98000000,4676.85700000
2026-07-07T07:00:00+00:00,579.98000000,580.40000000,578.28000000,578.33000000,3979.50300000
2026-07-07T08:00:00+00:00,578.32000000,578.56000000,576.52000000,577.22000000,3627.70200000
2026-07-07T09:00:00+00:00,577.22000000,578.58000000,576.82000000,577.93000000,3215.67100000
